Game loaded!
Abstraction ended!
Time: 2010, Expected Value: 0.14107949502467593
Time: 2020, Expected Value: 0.12206769992946415
Time: 2030, Expected Value: 0.11975701906649641
Time: 2040, Expected Value: 0.12692216008295748
Time: 2050, Expected Value: 0.1283535786552374
Time: 2060, Expected Value: 0.12467485275655424
Time: 2070, Expected Value: 0.12751614047823537
Time: 2080, Expected Value: 0.12760785317403567
Time: 2090, Expected Value: 0.12739757025871656
Time: 2100, Expected Value: 0.12747927539159393
Time: 2110, Expected Value: 0.12683298525908426
Time: 2120, Expected Value: 0.12671871524761447
Time: 2130, Expected Value: 0.1268956719565607
Time: 2140, Expected Value: 0.12662271025250305
Time: 2150, Expected Value: 0.12661042474127437
Time: 2160, Expected Value: 0.12693797947385255
Time: 2170, Expected Value: 0.1264448101258276
Time: 2180, Expected Value: 0.12689337208549392
Time: 2190, Expected Value: 0.12735375910459823
Time: 2200, Expected Value: 0.1272190706943494
Time: 2210, Expected Value: 0.12719693438669222
Time: 2220, Expected Value: 0.1270405575408913
Time: 2230, Expected Value: 0.12708323218996792
Time: 2240, Expected Value: 0.12713171310747834
Time: 2250, Expected Value: 0.1270138889490285
Time: 2260, Expected Value: 0.126805908393585
Time: 2270, Expected Value: 0.12698011060372225
Time: 2280, Expected Value: 0.12687605035049562
Time: 2290, Expected Value: 0.1268999498719861
Time: 2300, Expected Value: 0.12717623930603833
Time: 2310, Expected Value: 0.127110601445257
Time: 2320, Expected Value: 0.12707100108730174
Time: 2330, Expected Value: 0.1270051358697199
Time: 2340, Expected Value: 0.12695911773264465
Time: 2350, Expected Value: 0.12694367545682664
Time: 2360, Expected Value: 0.1270848394364963
Time: 2370, Expected Value: 0.12693570076228605
Time: 2380, Expected Value: 0.12689507161907482
Time: 2390, Expected Value: 0.12693900847398498
Time: 2400, Expected Value: 0.12685444894542713
Time: 2410, Expected Value: 0.12702077831896924
Time: 2420, Expected Value: 0.1269998732742011
Time: 2430, Expected Value: 0.12693097709819373
Time: 2440, Expected Value: 0.12685389471135006
Time: 2450, Expected Value: 0.1268865374287263
Time: 2460, Expected Value: 0.1269105457102987
Time: 2470, Expected Value: 0.1268801096157965
Time: 2480, Expected Value: 0.12700353694100125
Time: 2490, Expected Value: 0.12690707762195547
